abgerufen_am,kundenzentrum,wartezeit_minuten,feed_timestamp,wayback_url
2026-09-08T16:50:40+02:00,Kundenzentrum Chorweiler,0,2026-09-08 16:05:02,https://web.archive.org/web/20260908144739/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-08T16:50:40+02:00,Kundenzentrum Innenstadt,0,2026-09-08 12:15:03,https://web.archive.org/web/20260908144739/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-08T16:50:40+02:00,Kundenzentrum Ehrenfeld,0,2026-09-08 16:45:03,https://web.archive.org/web/20260908144739/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-08T16:50:40+02:00,Kundenzentrum Kalk,0,2026-09-08 15:25:15,https://web.archive.org/web/20260908144739/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-08T16:50:40+02:00,Kundenzentrum Lindenthal,2,2026-09-08 16:50:02,https://web.archive.org/web/20260908144739/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-08T16:50:40+02:00,Kundenzentrum Mülheim,0,2026-09-08 16:20:05,https://web.archive.org/web/20260908144739/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-08T16:50:40+02:00,Kundenzentrum Nippes,0,2026-09-08 16:50:02,https://web.archive.org/web/20260908144739/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-08T16:50:40+02:00,Kundenzentrum Porz,0,2026-09-08 13:35:02,https://web.archive.org/web/20260908144739/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-08T16:50:40+02:00,Kundenzentrum Rodenkirchen,0,2026-09-08 00:00:05,https://web.archive.org/web/20260908144739/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-11T20:02:38+02:00,Kundenzentrum Chorweiler,0,2026-09-11 11:30:03,https://web.archive.org/web/20260911165100/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-11T20:02:38+02:00,Kundenzentrum Innenstadt,0,2026-09-10 13:35:03,https://web.archive.org/web/20260911165100/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-11T20:02:38+02:00,Kundenzentrum Ehrenfeld,0,2026-09-11 10:35:03,https://web.archive.org/web/20260911165100/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-11T20:02:38+02:00,Kundenzentrum Kalk,0,2026-09-11 10:45:03,https://web.archive.org/web/20260911165100/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-11T20:02:38+02:00,Kundenzentrum Lindenthal,0,2026-09-11 12:10:02,https://web.archive.org/web/20260911165100/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-11T20:02:38+02:00,Kundenzentrum Mülheim,0,2026-09-11 11:10:03,https://web.archive.org/web/20260911165100/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-11T20:02:38+02:00,Kundenzentrum Nippes,0,2026-09-11 11:25:03,https://web.archive.org/web/20260911165100/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-11T20:02:38+02:00,Kundenzentrum Porz,0,2026-09-10 14:55:08,https://web.archive.org/web/20260911165100/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-11T20:02:38+02:00,Kundenzentrum Rodenkirchen,0,2026-09-10 00:00:03,https://web.archive.org/web/20260911165100/https://www.stadt-koeln.de/externe-dienste/open-data/waiting-od.php
2026-09-16T15:27:49+02:00,Kundenzentrum Chorweiler,71,2026-09-16 07:45:03,
2026-09-16T15:27:49+02:00,Kundenzentrum Innenstadt,6,2026-09-16 07:45:03,
2026-09-16T15:27:49+02:00,Kundenzentrum Ehrenfeld,28,2026-09-16 07:45:03,
2026-09-16T15:27:49+02:00,Kundenzentrum Kalk,47,2026-09-16 07:45:03,
2026-09-16T15:27:49+02:00,Kundenzentrum Lindenthal,23,2026-09-16 07:45:03,
2026-09-16T15:27:49+02:00,Kundenzentrum Mülheim,60,2026-09-16 07:45:03,
2026-09-16T15:27:49+02:00,Kundenzentrum Nippes,58,2026-09-16 07:45:03,
2026-09-16T15:27:49+02:00,Kundenzentrum Porz,35,2026-09-16 07:45:03,
2026-09-16T15:27:49+02:00,Kundenzentrum Rodenkirchen,23,2026-09-16 07:45:03,
